id,ra,dec,dist,dist84,dist16,x,y,z,g,bp,rp,class,xtime,seto,SN,xtime_err
5829546092853939712,245.19623336734242,-61.9412128683191,167.21446,167.55064,166.90375,135.53093019266817,-94.76928810566503,-24.86049291168524,12.6964245,13.262314,11.988078,SOLAR_LIKE,2457376.3439968354,False,1054,1.0549469
1387247743387653632,230.62043105024742,37.06124621098227,204.99873,205.42108,204.58337,56.82778007173056,97.25066122644046,171.2904534032084,12.558389,13.03737,11.921393,SOLAR_LIKE,2457404.1255169255,False,1054,1.3661182
2038598839702672640,291.99581272826475,29.754324588505884,189.4371,189.74939,189.11046,84.40045205142906,168.4952260632703,19.412204835234558,12.4853115,12.991988,11.827911,SOLAR_LIKE,2457501.5420007077,False,1054,1.0419575
4607839243856979968,267.9387699940972,34.96371033030188,187.09532,187.4055,186.77733,82.50437523579421,145.52408351146482,83.81421528539114,11.761107,12.159644,11.197582,SOLAR_LIKE,2457416.955696567,False,1054,1.0244145
358561741233446144,30.914499116111845,50.68187179124898,76.47367,76.60127,76.33208,-52.659278861136954,53.66104169962304,-13.889188334979536,12.546176,13.518522,11.565259,SOLAR_LIKE,2457761.1713918624,False,1604,0.43899924
2240756082676323968,296.8494948101502,61.8042449075463,129.57689,129.78217,129.4359,-8.93570323208769,123.26690821988734,38.924491316249856,11.727104,12.235863,11.064332,SOLAR_LIKE,2457206.7469714,False,1604,0.5646871
1995175350254757504,346.4477423668906,51.96058050605249,101.82336,101.97306,101.69717,-29.31380197188173,96.58353572542629,-13.369944128897313,11.460834,12.018828,10.760611,SOLAR_LIKE,2457108.9486609,False,1604,0.44992322
5277782330180555904,125.14230724415016,-62.34662125313594,125.18757,125.362076,125.01849,13.935389165930246,-120.49069977427338,-30.991372063522522,11.74812,12.269061,11.073277,SOLAR_LIKE,2457274.686113937,False,1604,0.56030756
2069309715598883328,306.82718317501383,44.168732218567,159.31108,159.74025,158.93294,22.476693137907205,157.45010369479849,9.245549936555559,14.5315485,15.616144,13.4933405,SOLAR_LIKE,2457394.6565995454,False,1604,1.3165498
487180412429844608,57.74211480986348,63.27279949027352,73.70726,73.91162,73.4853,-57.25760548654944,45.44787488469137,9.261035852796812,16.255016,18.088137,14.960823,SOLAR_LIKE,2457361.3376149763,False,1604,0.6952397
581319601561693056,131.1691566651888,3.4270363715329006,76.73195,76.828545,76.62491,-49.69831189922661,-47.13533266824511,34.54681108936292,13.655269,14.835508,12.576349,SOLAR_LIKE,2457246.710801211,False,1604,0.33208618
5640863540945110400,131.83328167569957,-31.80726643034619,94.79822,94.88694,94.71446,-25.24830899466906,-90.57350662886421,12.013294834041272,11.476549,12.087407,10.734158,SOLAR_LIKE,2457633.639867892,False,1604,0.28127354
3788226580309919360,167.2529669168417,-4.993076088490227,118.138,118.59172,117.76724,-11.150933176002582,-75.95037819503138,89.79526271558434,14.356795,15.473681,13.304854,SOLAR_LIKE,2457337.6155060576,False,1604,1.344544
